Role,Domain,Responsibilities
Software Developer,"Development and Test, Monitoring, Assurance, Design Domain","Turn requirements into code  build unit tests  consider initial deployment issues  develop application monitoring strategies  and review application monitoring events. Perform secure programming and identify potential flaws in codes to mitigate vulnerabilities.  Analyze user needs and software requirements to determine feasibility of design within time and cost constraints. Capture security controls used during the requirements phase to integrate security within the process  to identify key security objectives  and to maximize software security while minimizing disruption to plans and schedules. Compile and write documentation of program development and subsequent revisions  inserting comments in the coded instructions so others can understand the program. Apply cybersecurity functions (e.g.  encryption  access control  and identity management) to reduce exploitation opportunities. Identify and leverage the enterprise-wide security services while designing and developing secure applications (e.g.  Enterprise PKI  Federated Identity server  Enterprise Antivirus solution) when appropriate. Determine and document software patches or the extent of releases that would leave software vulnerable. Translate security requirements into application design elements including documenting the elements of the software attack surfaces  conducting threat modeling  and defining any specific security criteria. Identify and leverage the enterprise-wide version control system while designing and developing secure applications. Identify security issues around steady state operation and management of software and incorporate security measures that must be taken when a product reaches its end of life. Confer with systems analysts  engineers  programmers  and others to design application and to obtain information on project limitations and capabilities  performance requirements  and interfaces. Apply coding and testing standards  apply security testing tools including ""'fuzzing"" static-analysis code scanning tools  and conduct code reviews. Design countermeasures and mitigations against potential exploitations of programming language weaknesses and vulnerabilities in system and elements. Store  retrieve  and manipulate data for analysis of system capabilities and requirements. Conduct trial runs of programs and software applications to ensure that the desired information is produced and instructions and security levels are correct. Correct errors by making appropriate changes and rechecking the program to ensure that desired results are produced. Perform risk analysis [e.g.  threat  vulnerability  and probability of occurrence] whenever an application or system undergoes a major change. Direct software programming and development of documentation. Evaluate factors such as reporting formats required  cost constraints  and need for security restrictions to determine hardware configuration. Develop stragegies for application monitoring and event analysis. Identify basic common coding flaws at a high level. Consult with customers about software system design and maintenance. Consult with engineering staff to evaluate interface between hardware and software. Develop software system testing and validation procedures  programming  and documentation.  Apply secure code documentation. Identify security implications and apply methodologies within centralized and decentralized environments across the enterprise’s computer systems in software development. Address security implications in the software acceptance phase including completion criteria  risk acceptance and documentation  common criteria  and methods of independent testing. Supervise and assign work to programmers  designers  technologists and technicians  and other engineering and scientific personnel. Modify and maintain existing software to correct errors  to adapt it to new hardware  or to upgrade interfaces and improve performance. Perform integrated quality assurance testing for security functionality and resiliency attack. Develop secure code and error handling. Analyze information to determine  recommend  and plan the development of a new application or modification of an existing application. Design  develop  and modify software systems  using scientific analysis and mathematical models to predict and measure outcome and consequences of design. Plan  design  and make appropriate changes to the program and other artifacts to ensure that the desired quality attributes are achieved"
Solution Manager,,
Subject Matter Expert,,
Supplier,Operational Domain,
System Administrator,"Development and Test, Monitoring, Assurance Domain",
Systems Analyst,"Development and Test, Monitoring, Assurance, Analysis Domain",
Systems Engineer,"Development and Test, Monitoring, Assurance, Analysis Domain",
Technical Support Specialist,"Monitoring, Assurance, Analysis Domain",
Test Engineer,"Development and Test, Monitoring, Assurance, Analysis Domain",
UI/UX Designer,"Development and Test, Design Domain",
User,Operational Domain,"Use the product under development on a constant or regular basis. .Provide feedback on how well the product under development functions. Determine the amount of value the product under development provides. Identify and report defects not recognized by the engineering process. Identify and request enhancements to the product under development that will increase value."
User Experience,Design Domain,"User experience design  user feedback acceptance  and user experience validation of the development product outputs. Create innovative solutions for a wide variety of product design challenges  including mobile  desktop  hardware interfaces  physical environments  and person-to-person interactions. Lead the design for new experiences and improvements of existing experiences. Plan and define strategy for the direction of future iterations. Quickly iterate on multiple interactive design solutions and work through details. Advocate for design solutions  highlighting inputs that influenced the decisions including business and user goals  demographic and usage data  and research findings. Assess and optimize the performance of new and existing features by actively participating in user research and assessing performance metrics. Contribute to the group’s shared knowledge of user-centered design and research methodologies. Deliver work that’s not only user-friendly  aesthetically engaging  but which also produces results. Develop and maintain detailed user-interface specifications. Develop high level  detailed storyboards  mock-ups  and prototypes to effectively communicate interaction and design ideas. Present design work to multiple teams and senior leadership for review and feedback. Work alongside engineers and product managers throughout all stages of the production cycle."
Vendor,,"adhering to contractual security directives involving the vendor’s access to systems and facilities complying with contractual incident response processes in the event of a breach coordinating with business partners to ensure quality goods and/or services ensuring data protection  privacy compliance  and security control validation/certification of its sub-contractors maintaining all necessary documentation to show compliance with the contractual information security requirements securing its computer networks using multiple layers of access controls to protect against unauthorized access maintaining positive relationships with customers maintaining the supply flow of products"
